City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,banda aceh,5.5577,95.3222,27.9,71,100,5.8,ID,1689988061
177,port mathurin,-19.6833,63.4167,22.85,79,100,7.13,MU,1689988061
178,moree,-29.4667,149.85,13.27,47,0,2.97,AU,1689988062
179,grenaa,56.4158,10.8783,12.12,95,100,4.68,DK,1689988062
180,enriquillo,17.9,-71.2333,26.32,80,0,4.02,DO,1689988062
181,brisas de zicatela,15.8369,-97.0419,29.29,61,40,3.09,MX,1689988063
182,utrik,11.2278,169.8474,28.37,77,17,7.09,MH,1689988063
183,nyurba,63.2842,118.3319,22.83,63,39,1.83,RU,1689988063
184,atafu village,-8.5421,-172.5159,28.85,70,84,3.49,TK,1689988064
185,constantia,44.1833,28.65,20.39,82,0,5.3,RO,1689987879
186,fortuna,40.5982,-124.1573,19.96,88,75,6.17,US,1689987931
187,guiuan,11.0333,125.7247,28.24,76,87,5.61,PH,1689988065
188,tuy hoa,13.0833,109.3,28.35,74,100,1.83,VN,1689988065
189,kadoma,34.7333,135.5833,31.47,39,0,1.75,JP,1689988065
190,ilomantsi,62.6716,30.9328,12.61,98,100,3.8,FI,1689988066
191,cidreira,-30.1811,-50.2056,17.6,92,97,7.8,BR,1689987814
192,sona,45.4388,10.8255,19.88,94,0,1.03,IT,1689988066
193,hermanus,-34.4187,19.2345,10.74,58,100,3.27,ZA,1689988067
194,chibougamau,49.9168,-74.3659,12.95,96,100,1.93,CA,1689988067
195,bamboo flat,11.7,92.7167,27.2,84,100,6.27,IN,1689988068
196,saint-joseph,-21.3667,55.6167,20.21,85,86,7.65,RE,1689988068
197,ust-tsilma,65.441,52.1498,16.51,79,48,1.1,RU,1689988068
198,makoua,0.0069,15.6333,25.4,59,100,1.34,CG,1689988068
199,kismayo,-0.3582,42.5454,24.8,85,100,7.38,SO,1689988069
200,puerto baquerizo moreno,-0.9,-89.6,24.48,82,95,5.05,EC,1689988069
201,turkestan,43.3333,68.25,27.93,28,0,4.06,KZ,1689988069
202,lau,9.2167,11.2833,23.67,94,28,1.44,NG,1689988070
203,naze,28.3667,129.4833,27.74,71,100,1.83,JP,1689988070
204,tres marias,19.0522,-99.2431,17.14,52,85,1.81,MX,1689988070
205,kalmunai,7.4167,81.8167,26.74,61,99,3.61,LK,1689988071
206,zhosaly,45.4878,64.0781,25.3,33,95,4.16,KZ,1689988071
207,gadzhiyevo,69.2551,33.3362,8.89,80,93,7.27,RU,1689988071
208,fort st. john,56.2499,-120.8529,27.44,34,81,4.27,CA,1689988072
209,dokshytsy,54.8924,27.7689,10.42,89,90,2.96,BY,1689988072
210,grand gaube,-20.0064,57.6608,20.21,76,45,0.45,MU,1689988072
211,bardai,11.65,7.2333,22.4,77,100,2.4,NG,1689988073
212,san patricio,28.017,-97.5169,32.4,62,0,6.77,US,1689988073
213,dongola,19.1667,30.4833,35.28,9,100,5.75,SD,1689988073
214,invercargill,-46.4,168.35,7.01,61,7,3.05,NZ,1689988074
215,angaur state,6.906,134.13,27.77,82,97,6.08,PW,1689988074
216,badger,64.8,-147.5333,26.95,39,0,2.06,US,1689988074
217,new norfolk,-42.7826,147.0587,13.27,69,100,1.65,AU,1689988075
218,lagos,6.5833,3.75,25.09,85,100,3.42,NG,1689988037
219,hawaiian paradise park,19.5933,-154.9731,29.29,69,40,4.63,US,1689987894
220,arraial do cabo,-22.9661,-42.0278,21.09,72,20,7.08,BR,1689988076
221,cruzeiro do sul,-29.5128,-51.9853,18.01,95,19,1.94,BR,1689987855
222,saint-francois,46.4154,3.9054,12.69,88,0,1.03,FR,1689988077
223,suva,-18.1416,178.4415,24.71,83,75,3.6,FJ,1689988077
224,umluj,25.0213,37.2685,32.08,40,95,3.71,SA,1689988077
225,college,64.8569,-147.8028,26.99,42,20,2.06,US,1689987829
226,gisborne,-38.6533,178.0042,10.21,90,100,5.33,NZ,1689988078
227,yemetsk,63.4721,41.7941,12.23,97,98,1.78,RU,1689988078
228,galliano,29.4422,-90.2992,30.56,67,72,4.38,US,1689988079
229,kone,-21.0595,164.8658,20.45,63,91,3.38,NC,1689988079
230,anajatuba,-3.2644,-44.6197,22.92,70,8,0.86,BR,1689988079
231,narrabri,-30.3167,149.7833,13.07,62,0,1.34,AU,1689988080
232,keflavik,64.0049,-22.5624,11.24,82,100,3.6,IS,1689988080
233,colonia,50.9333,6.95,14.92,75,0,1.03,DE,1689988080
234,pangody,65.85,74.4859,19.41,74,100,2.13,RU,1689988081
235,lata,40.1629,-8.3327,13.2,98,14,0.75,PT,1689988081
236,santo antonio do ica,-3.1022,-67.9397,24.73,72,14,0.55,BR,1689988081
237,cam ranh,11.9214,109.1591,27.98,78,75,1.03,VN,1689988082
238,laguna,38.421,-121.4238,43.08,27,0,3.09,US,1689988082
239,puerto ayacucho,5.6639,-67.6236,24.72,91,98,1.77,VE,1689988082
240,ca mau,9.1769,105.15,25.8,90,100,3.72,VN,1689988083
241,al bawiti,28.3492,28.8659,27.18,35,0,2.85,EG,1689988083
242,haiku-pauwela,20.9219,-156.3051,29.01,57,0,12.35,US,1689988084
243,svetlyy,54.675,20.1347,14.03,91,100,1.1,RU,1689988084
244,la passe,45.5549,-0.8967,16.66,76,0,3.14,FR,1689988085
245,mezhdurechenskiy,59.6,65.9333,15.05,84,7,3.55,RU,1689988085
246,flin flon,54.7682,-101.865,24.44,43,62,3.77,CA,1689988085
247,aroma,15.8167,36.1333,26.92,58,86,8.91,SD,1689988086
248,corpus christi,27.8006,-97.3964,32.13,76,0,6.69,US,1689987842
249,yuzhno-kurilsk,44.0306,145.8556,18.4,81,34,5.02,RU,1689988086
250,bikenibeu village,1.3673,173.1241,28.25,70,74,0.08,KI,1689988087
251,daru,-9.0763,143.2092,26.68,70,78,6.18,PG,1689988087
252,saint-philippe,-21.3585,55.7679,20.77,86,88,7.23,RE,1689988087
253,baijiantan,45.6333,85.1833,33.42,21,8,6.8,CN,1689988088
254,luena,-11.7833,19.9167,16.25,41,20,1.54,AO,1689988088
255,ambon,-3.6954,128.1814,28.08,74,40,2.57,ID,1689988089
256,sarupathar,26.1984,93.8094,25.54,96,100,0.6,IN,1689988036
257,karratha,-20.7377,116.8463,21.15,26,0,11.32,AU,1689988089
258,alta,69.9689,23.2717,9.59,82,100,4.47,NO,1689988059
259,alapa,8.6167,4.3833,22.76,97,100,2.62,NG,1689988090
260,veraval,20.9,70.3667,27.39,88,100,6.54,IN,1689988090
261,bengkulu,-3.8004,102.2655,25.46,84,12,1.37,ID,1689988091
262,sitka,57.0531,-135.33,15.94,82,100,4.12,US,1689988091
263,empalme,27.9667,-110.8167,33.03,75,40,6.17,MX,1689988091
264,port moresby,-9.4431,147.1797,27.5,66,55,5.52,PG,1689988092
265,at taj,24.2049,23.2857,29.02,16,0,4.15,LY,1689988092
266,roma,43.2128,-75.4557,21.08,78,75,3.6,US,1689988092
267,kemi,65.8596,24.8228,12.87,94,20,2.06,FI,1689988093
268,crane,31.3974,-102.3501,35.85,18,4,6.05,US,1689988094
269,scarborough,54.2797,-0.4044,13.14,89,100,0.89,GB,1689988084
270,saint-pierre,-21.3393,55.4781,20.82,83,100,4.63,RE,1689988094
271,broken hill,-31.95,141.4333,11.45,49,5,2.49,AU,1689988095
272,lubang,13.8584,120.124,28.18,75,48,2.32,PH,1689988095
273,puerto francisco de orellana,-0.4667,-76.9667,21.53,94,100,0.83,EC,1689988096
274,fort bragg,35.139,-79.006,29.95,66,0,0.0,US,1689988096
275,pacocha,-17.5833,-71.3333,15.97,87,50,0.54,PE,1689988096
276,itaituba,-4.2761,-55.9836,25.74,50,73,1.09,BR,1689988097
277,wingham,43.8879,-81.3114,20.15,79,2,2.45,CA,1689988097
278,salalah,17.0151,54.0924,25.05,100,100,1.03,OM,1689987985
279,tazovsky,67.4667,78.7,16.58,75,99,2.36,RU,1689988098
280,selfoss,63.9331,-20.9971,10.58,90,98,1.77,IS,1689988098
281,arkalyk,50.2486,66.9114,18.45,53,92,1.74,KZ,1689988099
282,opuwo,-18.0607,13.84,14.27,30,0,1.71,NA,1689988099
283,uaua,-9.8414,-39.4817,18.98,72,0,5.14,BR,1689988099
284,kankaanpaa,61.8,22.4167,9.42,96,100,0.57,FI,1689988100
285,lebanon,36.2081,-86.2911,26.82,79,0,2.57,US,1689988100
286,channagiri,14.0333,75.9333,21.79,89,100,7.86,IN,1689988100
287,bahia de kino,28.8333,-111.9333,36.51,56,71,5.08,MX,1689988101
288,barra de santo antonio,-9.4047,-35.5072,23.6,75,0,4.73,BR,1689988101
289,benguela,-12.5763,13.4055,19.0,89,25,1.89,AO,1689988102
290,hammerfest,70.6634,23.6821,8.25,81,100,4.63,NO,1689988069
291,vadso,70.0744,29.7487,7.49,93,100,6.17,NO,1689988102
292,puttalam,8.0362,79.8283,26.64,84,94,9.88,LK,1689988103
293,bonthe,7.5264,-12.505,24.95,91,100,5.48,SL,1689988103
294,la ronge,55.1001,-105.2842,23.57,41,5,3.75,CA,1689988103
295,nogliki,51.8333,143.1667,21.92,79,100,4.58,RU,1689988104
296,pandan,14.0453,124.1694,28.38,83,52,3.66,PH,1689988104
297,strelka,58.0728,93.0344,18.0,85,100,1.34,RU,1689988105
298,badagara,11.6,75.5833,26.28,85,96,6.79,IN,1689988036
299,port alberni,49.2413,-124.8028,27.29,53,100,4.02,CA,1689988105
300,kirkwall,58.9848,-2.9587,9.03,93,8,2.57,GB,1689988106
301,ain sukhna,29.6002,32.3167,26.81,36,0,2.54,EG,1689988106
302,st. john's,47.5649,-52.7093,21.66,84,20,3.6,CA,1689987555
303,warrnambool,-38.3833,142.4833,11.67,80,100,5.98,AU,1689988083
304,colac,-38.3333,143.5833,8.98,72,97,2.92,AU,1689988107
305,sault ste. marie,46.5168,-84.3333,19.9,63,0,4.63,CA,1689987843
306,bestobe,52.4994,73.0975,17.77,67,1,6.59,KZ,1689988108
307,kavaratti,10.5669,72.642,28.05,82,87,9.43,IN,1689988108
308,howrah,22.5892,88.3103,28.0,94,75,3.09,IN,1689988108
309,lompoc,34.6391,-120.4579,31.68,76,0,3.09,US,1689988109
310,nema,57.5067,50.5011,13.51,97,100,1.96,RU,1689988109
311,prado,-17.3411,-39.2208,22.22,70,98,4.81,BR,1689988045
312,dudinka,69.4058,86.1778,21.46,62,60,5.46,RU,1689988110
313,peterhead,57.5058,-1.7981,12.22,81,95,1.36,GB,1689988110
314,cambria,35.5641,-121.0808,38.47,64,74,2.23,US,1689988111
315,weno,7.4515,151.8468,28.97,79,100,2.57,FM,1689988111
316,happy valley-goose bay,53.3168,-60.3315,20.2,55,87,1.05,CA,1689988111
317,rongelap,11.1635,166.8941,28.58,77,100,6.48,MH,1689988112
318,monett,36.929,-93.9277,23.9,75,40,1.54,US,1689988112
319,ujae,8.9322,165.7642,28.34,78,87,6.0,MH,1689988113
320,i-n-salah,27.1935,2.4607,36.11,10,0,8.15,DZ,1689988113
321,baie-comeau,49.2168,-68.1489,17.82,77,100,4.63,CA,1689988109
322,cacheu,12.2706,-16.1658,26.1,86,98,2.83,GW,1689988114
323,vila do maio,15.1333,-23.2167,26.44,82,14,6.51,CV,1689988114
324,tralee,52.2704,-9.7026,13.84,98,100,2.81,IE,1689988115
325,ranong,9.9658,98.6348,25.19,90,100,4.16,TH,1689988115
326,melfort,52.8667,-104.6177,23.26,56,19,2.97,CA,1689988115
327,labytnangi,66.6572,66.4183,18.53,88,100,1.98,RU,1689988116
328,del rio,29.3627,-100.8968,39.06,20,0,4.63,US,1689988116
329,kameyama,34.85,136.45,27.66,69,21,2.86,JP,1689988116
330,safonovo,55.15,33.2167,9.94,92,8,2.8,RU,1689988117
331,lensk,60.7253,114.9278,24.72,50,74,3.63,RU,1689988117
332,alofi,-19.0595,-169.9187,25.3,86,10,4.36,NU,1689988117
333,lodja,-3.4833,23.4333,23.4,55,2,1.09,CD,1689988118
334,queenstown,-31.8976,26.8753,11.67,66,100,8.37,ZA,1689988118
335,ocean city,39.2776,-74.5746,26.11,78,100,1.34,US,1689987951
336,ascension,30.2169,-90.9001,33.94,66,0,0.0,US,1689988119
337,san agustin de valle fertil,-30.6335,-67.4682,16.39,36,100,1.75,AR,1689988119
338,labrador city,52.9463,-66.9114,12.79,98,100,0.84,CA,1689988119
339,shenjiamen,29.9576,122.298,27.22,87,99,9.92,CN,1689988120
340,cinisi,38.1562,13.1073,35.56,12,0,7.2,IT,1689988120
341,cabanas,22.9758,-82.9219,28.25,75,68,1.57,CU,1689988120
342,sangkhla buri,15.1555,98.4536,23.17,100,100,0.2,TH,1689988121
343,ruidoso,33.3317,-105.673,29.08,21,0,4.12,US,1689988121
344,cascais,38.6979,-9.4215,19.96,81,29,6.71,PT,1689988121
345,durres,41.3231,19.4414,25.1,56,0,3.69,AL,1689987963
346,uttar char fasson,22.2332,90.7132,28.45,87,100,9.19,BD,1689988122
347,bridgewater,44.3835,-64.5155,21.73,100,97,2.24,CA,1689988122
348,monrovia,6.3005,-10.7969,24.98,85,99,5.54,LR,1689987830
349,maamba,-17.3667,27.15,14.75,73,3,0.22,ZM,1689988123
350,carnarvon,-24.8667,113.6333,15.74,32,0,10.79,AU,1689988123
351,isoka,-10.1606,32.6335,12.18,87,0,0.87,ZM,1689988124
352,linxia chengguanzhen,35.6003,103.2064,19.6,50,0,0.28,CN,1689988124
353,rancho cucamonga,34.1064,-117.5931,39.2,41,20,6.17,US,1689987947
354,rahuri,19.3833,74.65,22.95,92,100,4.81,IN,1689988125
355,bankura,23.25,87.0667,25.23,98,100,3.43,IN,1689988125
356,hasaki,35.7333,140.8333,29.05,73,51,4.29,JP,1689988125
357,taltal,-25.4,-70.4833,16.28,80,28,4.8,CL,1689987621
358,padang,-0.9492,100.3543,26.52,77,91,0.55,ID,1689988126
359,nikolayevsk-on-amure,53.1406,140.73,27.44,45,55,4.48,RU,1689988126
360,ribas do rio pardo,-20.4431,-53.7592,21.13,48,0,3.41,BR,1689988126
361,ciudad rio bravo,25.9833,-98.1,34.05,43,0,5.14,MX,1689988127
362,jiagedaqi,50.4167,124.1167,16.05,90,100,0.47,CN,1689988127
363,gwadar,25.1216,62.3254,27.68,85,97,2.96,PK,1689988127
